country,milex
USA                           ,684780
"China, P. R.                  ",169604
Russia/USSR,81079
France                        ,60035
Japan                         ,60010
UK                            ,58496
Saudi Arabia                  ,56498
India                         ,47217
Germany                       ,46471
Brazil                        ,33987
Italy                         ,33733
"Korea, South                  ",31661
Australia                     ,26217
Canada                        ,20375
UAE                           ,19024
Turkey                        ,17810
Israel                        ,14758
Spain                         ,13912
Iran                          ,12719
Oman                          ,12334
