country,milex
USA                           ,609914
"China, P. R.                  ",216371
Russia/USSR,84462
Saudi Arabia                  ,80762
France                        ,62289
UK                            ,60482
India                         ,49968
Germany                       ,46455
Japan                         ,45776
"Korea, South                  ",36677
Brazil                        ,31744
Italy                         ,30909
Australia                     ,25411
UAE                           ,22755
Turkey                        ,22618
Canada                        ,17452
Israel                        ,15908
Colombia                      ,13054
Spain                         ,12732
Algeria                       ,11862
