country,milex
USA                           ,639704
"China, P. R.                  ",191228
Russia/USSR,87831
Saudi Arabia                  ,67020
France                        ,62417
UK                            ,56861
Japan                         ,48728
Germany                       ,47667
India                         ,47403
"Korea, South                  ",33940
Italy                         ,33892
Brazil                        ,32958
Australia                     ,24825
UAE                           ,23561
Canada                        ,18464
Turkey                        ,18431
Israel                        ,16967
Colombia                      ,13001
Spain                         ,12607
Oman                          ,11688
